Product	Title	Industry	What do you like best?	What do you dislike?	What problems are solved?
6sense			"Lead generation would be ideal if we could find something that could accurately analyse the data I like the idea of what 6Sense is aiming to do, however it does this so poorly from my perspective that other than the idea I find 6sense is a waste of time. Make sure they can do what they say. We deployed this when I was a BDR and it was horrible, I hoped as I transitioned to a direct rep that it would change and I would be lucky enough to reap the benefits- seems unlikely so far"	"Inaccurate - the leads are not looking for erp or even interested Sloppy - mixed data - emails, numbers, contacts Not a fit - our software can do a lot, but the leads we get from 6sense are typically not a fit"	
6sense		Computer Networking	The technology behind 6sense delivered accurate information pinpointing when an account would have a booking. The customer focus of the 6sense team allowed us to take full advantage of the product's capabilities.	"6sense is still a small company, which could be a concern.  The June 2017 Forrester report on predictive analytics, however, ranks 6sense as the industry leader."	
6sense		Venture Capital & Private Equity	Lead Gen! 6sense offers an increased conversion rate and a higher likelihood to convert. Incredibly intuitive and easy to use! UI was easily navigable on any device. 6sense is a simple solution that is able to generate a ton of high-quality leads that would otherwise be overlooked. This is a very helpful tool for any marketer or prospector looking to increase pipeline. 6Sense won't solve your pipeline problems if you don't have enough data or leads. Don't think of them as a a replacement for reps or marketers. Think of them as an enhancement to everything you're doing.	"The product met all our needs, fantastic experience!"	
6sense		Internet	"1. Account Targeting by firmo, demo, technographic filters 2. Managing different Target Lists 3. Data Hygiene 4. Account Scoring Targeting Accounts and relevant buyers Being in IoT business, our target market and buyers are slightly different and sophisticated; yet ZenIQ's sophisticated machine learning engine is able to surface them up for our marketing programs. We are also starting to manage our account data better with ZenIQ and deploying their Account Scoring framework. There is no other product which does so many things for marketers at such scale."	Product line level granularity missing	
6sense		Computer Software	"Identifying untapped prospects & opportunities across marketing, ISR and field teams.  We have generated additional sales meetings & created additional pipeline by implementing ZenIQ driven plays. MAP+CRM integration, automation, support Review ZenIQ capabilities against the key elements of your current and planned GTM strategy; ZenIQ can support both account and lead based strategies."	Learning curve; ZenIQ is a feature rich platform that takes time to ramp up on.	
6sense		Computer Software	"Our organization was trying to take our ABM program to the next level and we were evaluating a lot of different funnel attribution and marketing reporting tools. Our sales and marketing teams have been building out and touching target accounts for a few years. We had an excel-based ABM list that we drove target account programs off of and directed sales efforts but it was not going to scale and we did not have a way to repeatably report on and measure our progress. We needed a much better way to manage and maintain that target account list that was truly synced with our marketing and salesforce.com systems and allowed us to drive ABM channels / programs and analytics.  ZenIQ pulls together all these processes and activities and makes it easy for us to gain visibility and report on our progress. Today, we can build out our buying center at our target accounts, enrich and manage account data, orchestrate targeted campaigns across channels (including SDRs and sales), and, most importantly, we can really understand and share our account-based marketing progress easily. Helps establish an accountable, data-driven ABM approach. Efficiently delivers an optimized, clean ABM marketing automation / CRM instance, build out your ABM database, and deliver full funnel account-based reporting and analytics in one system. Don't start executive ABM programs before you have the ABM database management and reporting analytics plan figured out. Definitely include them in your ABM RFPs."	"Because of the nature of ABM and depending on your ABM maturity, there is some planning and preparation that goes in to optimizing your CRM for ABM and structuring the optimal ABM reporting metrics. ZenIQ helps with all of this and the team is very knowledgeable and helpful but do realize there is some time commitment on your part to get things setup correctly. Garbage in, garbage out."	
6sense			"Multiple: Data Hygiene, Upsell/CrossSell Campaigns, Targeted Engagements of current and acquired coverage ZenIQ acts as our system of records for marketing Account Based Orchestration is sexy and easy to gravitate to and rightfully so; but a rude awaking for us was when ZenIQ demonstrated our data hygiene. We had to take the first step with ZenIQ was priming our Data Hygiene - otherwise garbage in garbage out. So do not skip this step - ZenIQ will make it easier for you but if you want to jump into the flashy stuff first you may be disappointed with results"	ZenIQ takes a little time to get used to	
6sense		Human Resources	"We were trying to launch ABM nurture plan and ZenIQ helped us achieved faster lead sourcing, smarter targeting and intelligent account insights and alerts. - Immediate tech help; - improving features; - flexible API integration with other marketing automation platforms"	- overall ease of use can be improved - data quality is not 100%	
6sense		Computer Software	"Increased lead flow, helping lead to more qualified opportunities. It works. We've found some ""diamond in the rough"" leads that we hadn't called yet, and 6sense gave us a foot in the door to reach out, only to find out that timing was perfect."	We get some 6sense leads that are already customers of ours.	
6sense		Computer Software	"Accounting and ERP. Not many benefits not much, getting leads is nice. Most of those lead are not accurate thought. Would not recommend, not the greatest product if you're at a larger company"	"It provides leads not in target market, not in accurate vertical, not much positive"	
6sense		Computer Software	"Not many, It isn't helping me prospect that much It finds companies for you. Scores them for you and then suggests to prospect. Only use if based in US"	It is very US-centric and there aren't enough eu based companies.	
6sense		Computer Software	Predictive business intelligence has an almost immediate ROI. I would recommend 6sense to my customers Incredibly intuitive and easy to use! UI was easily navigable on any device	"The product met all my needs, fantastic experience"	
6sense		Computer Software	Helpful for assigning reps to deals and assessing accurate pipeline The accuracy allows our company to assess opportunities and most importantly the length or difficulty of the sales cycle.	Some difficult opportunities are given higher ratings	
6sense			Client services and continuous new information Accessibility to a variety of buyers in areas	Sometimes unreliable information on potential leads.	
6sense		Computer Software	"It does provide a long list of companies but there is a lot of sifting through that needs to be done with them. That it provides names of the C level executives and also provides a pretty long list of companies. In the small business space it would be more helpful if the information, specifically company size and revenue was more accurate."	"I personally work with small businesses and most of the information within this space is not accurate. The company size is almost always wrong, and the vast majority of the companies that I find on this website end up not being existing companies."	
6sense		Computer Software	Lead Gen. 6sense offers an increased conversion rate and higher likelihood to convert. 6sense is able to generate high quality leads that would otherwise be overlooked. This is a very helpful tool for any prospector looking to increase their pipeline. Ensure your organization has plenty of internal leads for 6sense to sift through.	Can generate a lead with very few contacts. Unclear why the leads were recommended.	
6sense		Higher Education	finance/accounting - back end system problems Format of how leads are presented. The goals of presenting key outbound lead criteria is on point but the data needs to be scrubbed and validated first make sure the data is accurate and up to date.	"None of the leads were qualified or accurate, the data tends to err more on the side of garbage without dated info vs accurate"	
6sense		Computer Software	best focus on outbound efforts and SFA. Gave a better/predictive level of insight into opportunities for the reps.	A bit of a black box setup from an end-user/rollout perspective.	
6sense		Computer Software	"Mitigating the time it takes to prospect. Automated lead generation. Separating them by verticals automatically is great. Make sure that the 6Sense system and proper integrations are set up correctly and efficiently before going live with the system. There will be kinks that need to be worked out, but if you can ensure that your system routes leads correctly, determines if a lead is good or bad (or missing information), then the system should work as it should. The value is in the automated lead generation and mitigation of prospecting time required."	Lack of lead quality- can't determine good vs bad leads	
6sense		Computer Software	Able to reach a mass amount of leads and make our efforts much easier to prospect. The amount of leads received and the info given about them was crucial in our efforts when we were prospecting different companies. Make sure you audit and clean up the leads before you prospect but overall a great place to start your sales efforts.	Some of the leads were not in the correct business type or not looking for a software pruchase in the next 6 months.	
6sense		Computer Software	"1. Data hygiene across our databases for leads, contacts, and accounts 2. Target list creation and maintenance 3. Account scoring 4. L2X orchestrations for target accounts 5. ABM performance Account/Contact scoring orchestration SmartPlays ZenIQ is the only vendor to seamlessly manage disparate data from both internal and external sources and applies machine learning to generate account level intelligence; its automated Orchestration SmartPlays are a huge timesaver for any ops person in marketing or sales - so much so that it pays for itself."	"Out of the box, the reports need to be configured to track the right performance metrics for your ABM program, but ZenIQ has an amazing success team who can help with that setup"	
6sense		Computer Software	"Challenges that I'm solving include, account engagement with leads AND contacts all in one place.  Benefits...running a custom nurture for a product with account specific targets.  Augmenting lists and enriching our database with the right information. for a marketing person, this is one of the easiest tools I've used to obtain net new contacts in specified accounts.  I can easily see what leads/contacts are associated with a set of accounts in my own CRM and what names I can acquire with a click of a button.   The other recommendation that ZenIQ gives you are ""like"" accounts that you are targeting in case you are missing a target that you should be considering. If you are looking for an ABM tool and are starting"	I've been a user of Engagio as well.  Engagio allows you to really understand engagement of leads/contacts per account per account owner.  You can really drill down on a day to day on what accounts to be targeted by the sales team.  it's easy for sales and marketing.  ZenIQ is getting there.  I think the capability is there.	
6sense		Internet	"1. Account Targeting by firmo, demo, technographic filters 2. Managing different Target Lists 2. Data Hygiene and L2X orchestration I really like how flexible it is to target our buyers. We can get very narrow on our ideal customer profile. It's also very easy to use. For a SMB trying to create and penetrate customer base, ZenIQ makes the marketers job far easier. We are not yet using their more sophisticated orchestration plays, but plan to in the next few moths. The sales team has seen great value as well from pipeline creation."	"If they can add an ""undo"" feature. Our market is also very niche, where we need to ensure that the company needs a scheduling platform or has workers they need to schedule a job. So it takes time to go through the list to ensure that after the great firmo and technographic filters that we don't waste time on someone we would never sell to. However, this is an issue I have seen with every vendor, since you can't collect data on that."	
6sense		Internet	"1. Targeting and penetrating key accounts 2. Managing different Buyer Persona 3. Account Scoring 4. Marketing Orchestration ZenIQ personnel have great passion for what they do, and they are 100% committed to making their customers successful. In addition, I'm very impressed with their attention and willingness to go the extra mile If you are trying to get your ABM initiative going or get it back in order, ZenIQ must be your first choice; this is the only vendor that can set your ABM foundation rock solid"	There is nothing about the current program that I dislike; any issues we have encountered have been dealt with swiftly and to our satisfaction	
6sense			"Target accounts and buyers. Data Hygiene . Account Scoring. Orchestration Out of the entire platform I gain the most value from the Intelligent SmartPlays and SmartFilter. The platform is very flexible and will almost allow you to do anything you want marketing operations wise. There are out of box SmartPlays, as well as many more available in their PlayBase community to model on. You will not be left alone. Finally their support is fantastic and they will always go the extra mile to make you successful."	"Overall the platform functions very well, however the intuitiveness of the UI could use a little more work."	
6sense		Computer Software	"I've been able to start outreaching accounts at the time they are interested. Allowing for a quick turnaround time from first outreach to first conversation over the phone. This benefit has helped me find quick wins and attain quota much faster. The best part about 6sense so far is that it's basically a bonus to the account research I already do. By giving me insight into companies that are looking at our company's website/whitepapers/etc., I'm able to start working accounts that I wouldn't have otherwise looked into and they're most likely interested already. 6sense will give your sales team a much needed bonus in their outbounding efforts. If your reps are struggling to find new accounts or need a quick win, 6Sense provided them with the correct accounts that will most likely be interested already."	"The one dislike I have so far is that 6Sense is also showing me accounts that are ""looking at our website/information"", when in reality they are just clicking our marketing emails to change their preferences and stop receiving all communication from us. This will take time away from me when I click into the account to see what they were looking at on our website and find out they weren't doing that at all."	
6sense			"Demand Generation: I'm orchestrating multiple campaigns and audiences based on very complex set of criteria allowing me to support a large ADR team. Ops & Data Compilation: Leveraging data across multiple systems including Salesforce, Eloqua, Infer, Bombora, etc. To filter and prioritize accounts based on data across all of my data sources would be virtually impossible without ZenIQ. You can literally set it and forget it, yet remain fully in control. It can handle anything from a simple ABM play to a highly complex, automated campaign from targeting through execution to measurement. ZenIQ has added so many valuable capabilities over the past 6 months that I can only imagine how much more powerful it will be in another 6 months."	It takes some time to understand all of the functionality within the tool and even longer to be truly self-sufficient within it. And you need to know your own data well.	
6sense			"We wnated to pivot to Account Based Marketing programs, and the 6Sense insights gave us a named-set of accounts to prioritize for demand-gen programs. We are driving MQL's, Mktg Gen Pipeline and Opp Creation metrics.   Insights at the account were important for us to focus our investments; the overall analysis work delivered confirmation on Ideal Custom Profile inputs.    A recent merger resulted in loss of use of the platform, but we look forward to potentially activating again with 6Sense. Depth of knowledge in the Predictive Analytics field, as applied to Demand Gen programs. Outstanding customer service and support; project planning and implementation services. Practical and innovative ways to deliver key insights on accounts and contacts and their engagements with owned and un-owned media sources.  Ability to prioritize & segment leads, and compare to existing lead-scoring programs. 6Sense staff were always working to understand our business and support testing and use-cases in a variety of ways. Leadership that is committed to the long term success of a partnership. Gain buy-in from Sales and Marketing leadership; give ample time for testing to yield results.  Define use-cases early and communicate clearly on goals and measurements."	"We were not able to fully integrate the platform into our Martech stack, which delivered limited results."	
6sense		Computer Software	"Initially our goal is to consolidate multiple data vendors into one platform to streamline the build out of our target account list. ZenIQ will manage de-duplication and adding of records into our CRM and makes the process very efficient by scraping all our data vendors for unique contacts simultaneously. We are just scratching the surface of this platform through its ability to help us analyze account penetration and synthesize our existing subscriptions to multiple data vendors to go after more target personas as said target accounts. There is so much more we can expand on in terms of our use of this system, from pulling in intent signals to building ""smart plays"" -- essentially building automated marketing campaigns that integrate with various marketing automation tools. Tons of value to be had here. I would recommend brining your subscriptions to other data vendors into this platform. ZenIQ can streamline use of other platforms for you, but if you buy data directly through other vendors first it can be cheaper."	"Given how much this platform is capable of, the main sort-of pitfall is that there will be a bit of a learning curve toward getting full utilization out of it. We're still working through it, but even if you use 20% of the tool I would still say you're getting good value."	
6sense			"The main problem we've been trying to solve is ensuring our sales and marketing teams are aligned on the status and next actions for key accounts. We've been using ZenIQ's account engagement charts as part of our ABM planning sessions, and these have been tremendously effective in helping us measure the true engagement level of the account - these charts show us which roles typically engage most often, and which specific actions tend to create the most engagement. This provides insights that are hard to come by otherwise, and generally saves us time in gathering all the key activities with their respective impact for a given account. The engagement charts for each account provide a central location to easily track the status of each account and identify the next best steps for our team.  The Engagement and Reach timeline of the Account journey with details of which campaigns they are interacting with and when we are having meaningful conversations. We've only been using ZenIQ for a short time, but we're already seeing the improvements in our ABM processes and programs. We've also been incredibly impressed with ZenIQ's responsive in fixing bugs and implementing featuring requests. ZenIQ is the perfect solution for those looking to jumpstart their ABM programs by creating alignment between marketing and sales. We highly recommend both the product and the team!"	"Product is still new and there are a few bugs here and there, but the development team is extremely responsive."	
6sense			"Account based marketing that includes (1) lead to account matching (2) automated account creation (3) automated person contacts.  Further, it's instrumental in target account identification. ZenIQ is super easy to use and very powerful in it's ability to manage accounts and connect the dots between salesforce and marketo.   I especially like how it can create accounts and identify contacts in seconds.  Further, their data on technology use coupled with firmographic data is so helpful and provides a great competitive edge.  Excellent customer success team that makes all the difference."	"On the onset, some things need tweaking to ensure it's working properly, but their customer success team really negates this."	
6sense			"We’ve struggled to align sales and marketing to focus our efforts on the same companies and with 6sense, we’re all in agreement of which accounts are ready to be prospected and it truly makes the entire organization more efficient and successful. 6sense goes beyond being just a predictive technology, to instead, a complete buyer intelligence platform, allowing for prioritization and personalization of every marketing and sales touch throughout the journey. Don’t avoid 6sense just because you think you have dirty data! Through a robust data mastering and data pipeline, 6sense also has the ability to deal with dirty data being collected, processed, mastered, and scored from multiple systems on a daily basis. It’s such a perk that we didn’t even realize!"	"They’re already working on making everything more self-serve, which has been my only piece of feedback to date."	
6sense		Computer Software	"We've seen greater ROI on leads that have 6sense insights on them which saves our sales team time when they are contacting inbound leads. I like the ability to determine what leads would be the best fit for our sales rep's to contact, so that they don't waste their time contacting useless leads. None"	"I don't think this product works as well as it is said to, at least in the way we have it set up. Maybe it's our integration as well, i don't know."	
6sense		Computer Software	Automated ABM and engaging with targeted accounts Their ability to integrate with almost any tool and build automated workflows off them.	I wish they had a native Salesforce application	
6sense		Information Technology and Services	Lead generation efforts and high-quality prospecting. The consistency of quality produced by 6sense. It's dependable and boasts higher accuracy than other predictive intelligence lead sources.	It can be tricky to manage lead outreach internally because it's such a unique process. A lot of manual work is required.	
6sense		Marketing and Advertising	"Company awareness They have helped my small company accelerate sales Stick with them, they care"	Still a start up and have a few things to work on	
6sense		Internet	Worked with internal BD team on lead qualification. Quantification allowed for easy-to-process value to leads.  The product made it easier to church.	None in particular.  Any issues seemed to be common with nature of dealing w/large pools of leads.	
6sense		Computer Software	"I manage the relationship and am focused on aggressively expanding the NetSuite footprint and partner footprint for my portfolio of customers. I get qualified leads that seem to be accurate. I'm not receiving the leads first hand, but get them from our business development program which helps to ensure that these leads are pertinent to me."	"I've heard that at times these can be inaccurate, but I'm not handling them first hand."	
Saleswhale			Problems Solved: -Automation of my outbound sales process. -Engaging customers with email using automated sales workflows and sequences. Benefits: -We have gained a 20% lift in rep activity across our sales force. -We get accurate details around what works and what doesn't in emails. -We have more conversations with customers. -We get more replies and we prioritize the favorable replies. Easy Sequences & Sentiment Analysis. Benefits: -We have gained a 20% lift in rep activity across our sales force. -We get accurate details around what works and what doesn't in emails. -We have more conversations with customers. -We get more replies and we prioritize the favorable replies. Choose Saleswhale over Outreach. Couple Saleswhale with Cirrus Insight.	Limited Prospector interface. Limited search when prospecting. Great tool. Directionally correct. Needs to be enhanced.	
Saleswhale			"I am currently using Saleswhale to get feedback on a free product we have recently released ; so far, the open rate is around 60% and the reply rate is around 32%. On cold emails. I don't think I've ever had such a good response ever. I love so many things about Saleswhale. The gmail integration is super slick, all the emails I send are very personalized and the tracking of opens/bounces/clicks/replies in-app is great - I can switch between Saleswhale and Gmail and it tracks it all. It's incredibly easy to set up and start sending your first emails. Do it! It's awesome. The team is great, the product is great."	"Nothing has struck me yet, I've been using it for a while and it's been really great. I'm sure there are some features that I will ask for in future, but they are adding so much all the time anyway."	
Saleswhale			"1.  Prospecting leads 2.  Automating follow ups to cold emails 3.  Whilst it helps automate, you can still quickly customise the content to be relevant to the user. It's awesome!  I have built very high quality pipeline that has high conversion rates and short sales cycles using this tool. It is very easy to set up and train your team to use.  I recommend trying it out today.  The support provided by Venus and Gabriel is amazing! Try it right now.  http://saleswhale.com/"	"It is amazing what Saleswhale offers as such a young company.  I'm excited for what they do next, but it more than satisfies all of my requirements."	
Saleswhale			Reaching out to business through email campaigns. The program is superb especially the touch point and schedule mails. This Allows me to create my workflow to maximize productivity. The Support from the Saleswhale team is Incredible. They are on hand on time every time. Strategies that the Saleswhale team provided are amazing and  will change the way entrepreneurs approach email marketing. This program is great to use.	The typeface of the program. The check box of the tab cannot be seen. Shortcuts key need to be added to reduce the use of trackpad or pointer/mouse. Hopefully in the future this can link to my CRM.	
Saleswhale			"I love the fact that the team is so responsive and willing to implement new ideas that the customer has if it fits into their core values. We had 2-3 new features rolled out within weeks, and made the tool even more valuable."	I would say that the filtering/searching/sorting features make it difficult to section out leads for campaigns/emails. I wish that you had a little more functionality in this section.	
Saleswhale			The ability to personalize templated emails and run them through sequences. Good insights and reporting.	"Pretty buggy. Duplicated records in Salesforce multiple times. Not easy to bulk send, which is good for forcing more customization, but can be inefficient. Overall, great bang for the buck, but sometimes you feel like you get what you pay for."	
